"TABLE 9-9. Employment status of scientists and engineers, by age, sex, ethnicity, race, and disability status: 2013",,,,,,,,
White                        ,"4,254,000","3,287,000","584,000","11,000",,"94,000","278,000",D
More than one race,"135,000","91,000","24,000",*,,"11,000","9,000",D
Without disability                ,"6,147,000","4,756,000","764,000","21,000",,"169,000","436,000",D
With disability              ,"354,000","249,000","39,000","1,000",,"19,000","46,000",D
, ,,,,,,,
40?49                          ,"6,339,000","4,996,000","784,000","3,000",,"155,000","376,000","25,000"
Female                       ,"3,010,000","1,954,000","642,000","1,000",,"81,000","315,000","17,000"
Male                         ,"3,329,000","3,042,000","141,000","2,000",,"74,000","61,000","8,000"
Hispanic or Latinoc                     ,"523,000","408,000","71,000",*,,"17,000","25,000",S
Not Hispanic or Latino                     , ,,,,,,,
American Indian or Alaska Native,"16,000","11,000",S,D,,D,D,D
Asian                        ,"805,000","652,000","69,000","1,000",,"26,000","55,000",S
Black or African American                        ,"427,000","354,000","38,000",*,,"22,000","11,000",S
Native Hawaiian or Other Pacific Islander,"16,000","12,000","2,000",D,,D,"2,000",D
White                        ,"4,462,000","3,492,000","587,000","1,000",,"84,000","278,000","19,000"
More than one race,"89,000","65,000","13,000",D,,"5,000","5,000",D
Without disability                ,"5,749,000","4,592,000","712,000","3,000",,"131,000","295,000","16,000"
With disability              ,"590,000","404,000","72,000",*,,"24,000","81,000","9,000"
, ,,,,,,,
50?75                          ,"12,045,000","6,667,000","1,776,000",*,,"426,000","504,000","2,671,000"
Female                       ,"5,193,000","2,519,000","1,021,000",*,,"163,000","340,000","1,149,000"
Male                         ,"6,852,000","4,148,000","755,000",*,,"263,000","165,000","1,522,000"
Hispanic or Latinoc                     ,"598,000","354,000","78,000",*,,"26,000","37,000","102,000"
Not Hispanic or Latino                     , ,,,,,,,
American Indian or Alaska Native,"44,000","18,000","16,000",D,,"3,000",S,"6,000"
Asian                        ,"860,000","539,000","109,000",D,,"36,000","42,000","133,000"
Black or African American                        ,"700,000","400,000","75,000",D,,"45,000","30,000","150,000"
Native Hawaiian or Other Pacific Islander,"28,000","23,000",S,D,,D,D,"2,000"
White                        ,"9,688,000","5,272,000","1,472,000",*,,"309,000","384,000","2,250,000"
More than one race,"128,000","60,000","23,000",D,,"7,000","11,000","27,000"
Without disability                ,"10,069,000","5,858,000","1,515,000",*,,"316,000","316,000","2,063,000"
With disability              ,"1,976,000","809,000","261,000",D,,"111,000","188,000","607,000"
* = estimate < 500. D = suppressed for data confidentiality reasons. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,
,,,,,,,,
"a Includes all employed postdocs, including those employed part time or full time.",,,,,,,,
"b Includes those listing ""retired"" as a reason for not working and who are not looking for work.",,,,,,,,
c Persons of Hispanic or Latino origin may be of any race. ,,,,,,,,
,,,,,,,,
"NOTES: Numbers rounded to nearest 1,000. Detail may not add to total because of rounding and suppression. Scientists and Engineers Statistical Data System asks the degree of difficulty?none, slight, moderate, severe, or unable to do?an individual has in seeing (with glasses), hearing (with hearing aid), walking without assistance, lifting 10 pounds, or concentrating, remembering, or making decisions. Respondents who answered ""moderate,"" ""severe,"" or ""unable to do"" for any activity were classified as having a disability. Scientists and engineers are individuals who have a bachelor's or higher degree, are living in the United States, and have an S&E or S&E-related degree or occupation. ",,,,,,,,
,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, Scientists and Engineers Statistical Data System (SESTAT), 2013 (preliminary).",,,,,,,,
